Ticker,Date,Variation,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total
BICC M,2022-08,12.95,29493065,6890,4482,6890,4482
BICC M,2022-07,-3.1,64508300,6100,10136,6100,10136
BICC M,2022-06,4.74,47240545,6295,7652,6295,7652
BICC M,2022-05,-3.06,29283030,6010,4865,6010,4865
BICC M,2022-04,-3.05,323206450,6200,52533,6200,52533
BICC M,2022-03,5.7,77869595,6395,13032,6395,13032
BICC M,2022-02,0.83,65086265,6050,10745,6050,10745
BICC M,2022-01,-18.92,62225375,6000,10336,6000,10336
BICC M,2021-12,23.33,1235456010,7400,191045,7400,191045
BICC M,2021-11,0.0,58854265,6000,9816,6000,9816
BICC M,2021-10,-1.64,39098475,6000,6568,6000,6568
BICC M,2021-09,1.67,25643520,6100,4347,6100,4347
BICC M,2021-08,5.26,76168175,6000,13064,6000,13064
BICC M,2021-07,7.55,31827020,5700,5840,5700,5840
BICC M,2021-06,-3.64,54131195,5300,10020,5300,10020
BICC M,2021-05,7.21,19007615,5500,3593,5500,3593
BICC M,2021-04,2.5,15584460,5130,3051,5130,3051
BICC M,2021-03,16.94,14806450,5005,2829,5005,2829
BICC M,2021-02,-24.31,614003590,4280,94523,4280,94523
BICC M,2021-01,-15.34,1940527490,5655,290770,5655,290770
BICC M,2020-12,4.62,566218695,6680,86051,6680,86051
BICC M,2020-11,-1.77,289401270,6385,44790,6385,44790
BICC M,2020-10,18.18,51451210,6500,10178,6500,10178
BICC M,2020-09,5.57,57168490,5500,11524,5500,11524
BICC M,2020-08,7.42,58103415,5210,11833,5210,11833
BICC M,2020-07,12.92,59465095,4850,12696,4850,12696
BICC M,2020-06,22.71,18101775,4295,4533,4295,4533
BICC M,2020-05,14.19,7799680,3500,2209,3500,2209
BICC M,2020-04,-25.24,39780570,3065,11433,3065,11433
BICC M,2020-03,-13.87,9182500,4100,2206,4100,2206
BICC M,2020-02,-20.67,9704745,4760,2155,4760,2155
BICC M,2020-01,-11.76,852730,6000,137,6000,137
BICC M,2019-12,-1.31,160639125,6800,24161,6800,24161
BICC M,2019-11,24.14,33936570,6890,5888,6890,5888
BICC M,2019-10,7.87,69883125,5550,14513,5550,14513
BICC M,2019-09,31.75,27549765,5145,6164,5145,6164
BICC M,2019-08,-5.9,21816055,3905,5589,3905,5589
BICC M,2019-07,-7.78,16164970,4150,3967,4150,3967
BICC M,2019-06,5.88,13444520,4500,2984,4500,2984
BICC M,2019-05,-1.16,47821700,4250,10512,4250,10512
BICC M,2019-04,-11.79,24237740,4300,5523,4300,5523
BICC M,2019-03,-8.62,10357945,4875,2099,4875,2099
BICC M,2019-02,-15.32,12067190,5335,2011,5335,2011
BICC M,2019-01,-20.25,16090540,6300,2460,6300,2460
BICC M,2018-12,5.47,343340980,7900,44474,7900,44474
BICC M,2018-11,79.19,100280945,7490,21449,7490,21449
BICC M,2018-10,3.98,63429570,4180,14406,4180,14406
