Ticker,Période_détail,Période,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
CABC,S1,2024,9615000000.0,,834000000.0,548000000.0,
CABC,S1,2023,8489000000.0,,1005000000.0,745000000.0,
CABC,S1,2022,8515000000.0,,931000000.0,614000000.0,
CABC,S1,2021,8492000000.0,,575000000.0,304000000.0,
CABC,S1,2020,10451000000.0,,1590000000.0,1144000000.0,
CABC,S1,2019,6106000000.0,,573000000.0,503000000.0,
CABC,S1,2018,6474000000.0,,653000000.0,835000000.0,
CABC,S1,2017,6459000000.0,,1212000000.0,897000000.0,
CABC,S1,2016,5055000000.0,,392000000.0,251000000.0,
CABC,T1,2024,4709000000.0,,661000000.0,517000000.0,
CABC,T1,2023,4540000000.0,,787000000.0,588000000.0,
CABC,T1,2022,4549000000.0,,365000000.0,256000000.0,
CABC,T1,2021,3926000000.0,,380000000.0,239000000.0,
CABC,T1,2020,5467000000.0,,560000000.0,349000000.0,
CABC,T1,2019,2732000000.0,,-20000000.0,19000000.0,
CABC,T1,2018,2821000000.0,,,130000000.0,
CABC,T1,2017,3438000000.0,,,358000000.0,
CABC,T1,2016,2438000000.0,,,174000000.0,
CABC,T3,2024,14627000000.0,,1563000000.0,1055000000.0,
CABC,T3,2023,13048000000.0,,1231000000.0,887000000.0,
CABC,T3,2022,13129000000.0,,1294000000.0,863000000.0,
CABC,T3,2021,13523000000.0,,907000000.0,516000000.0,
CABC,T3,2020,14917000000.0,,1770000000.0,1281000000.0,
CABC,T3,2019,10291000000.0,,801000000.0,650000000.0,
CABC,T3,2017,2953000000.0,,,92000000.0,
CABC,T3,2016,2592000000.0,,,13000000.0,
CBIBF,An,2024,130987000000.0,2682791000000.0,88227000000.0,47937000000.0,
CBIBF,An,2023,125248000000.0,2488600000000.0,85727000000.0,64247000000.0,
CBIBF,An,2022,111106000000.0,2289034000000.0,74982000000.0,56478000000.0,
CBIBF,An,2021,90298000000.0,1952977000000.0,57840000000.0,46549000000.0,
CBIBF,An,2020,73982000000.0,1565195000000.0,48905000000.0,34373000000.0,
CBIBF,An,2019,59005000000.0,1211788000000.0,36508000000.0,27692000000.0,
CBIBF,An,2018,56705000000.0,1152245000000.0,34269000000.0,24531000000.0,
CBIBF,An,2017,45269000000.0,1132011000000.0,29218000000.0,19571000000.0,
CBIBF,An,2016,33737000000.0,884998000000.0,21849000000.0,16380000000.0,
CBIBF,An,2015,33505000000.0,648214000000.0,23486000000.0,15000000000.0,
CBIBF,S1,2024,59892000000.0,2584263000000.0,40086000000.0,33532000000.0,
CBIBF,S1,2023,57656000000.0,,39744000000.0,33179000000.0,
CBIBF,S1,2022,52324000000.0,,36330000000.0,27109000000.0,
CBIBF,S1,2021,42627000000.0,,28302000000.0,22706000000.0,
CBIBF,S1,2020,32624000000.0,,21244000000.0,16048000000.0,
CBIBF,S1,2019,29989000000.0,,19087000000.0,13789000000.0,
CBIBF,S1,2018,25780000000.0,,16636000000.0,11198000000.0,
CBIBF,S1,2017,22728000000.0,,15465000000.0,10074000000.0,
CBIBF,T1,2024,27889000000.0,,,16646000000.0,
CBIBF,T1,2023,28096000000.0,,,16569000000.0,
CBIBF,T1,2022,24238000000.0,,,14039000000.0,
CBIBF,T1,2021,22822000000.0,,,12443000000.0,
CBIBF,T1,2020,14762000000.0,,,7740000000.0,
CBIBF,T1,2019,15648000000.0,1158706000000.0,,7524000000.0,
CBIBF,T1,2018,11768000000.0,1107006000000.0,,6161000000.0,
CBIBF,T1,2017,11078000000.0,,,5810000000.0,
CBIBF,T3,2024,92405000000.0,,,49804000000.0,
CBIBF,T3,2023,91764000000.0,,,48912000000.0,
CBIBF,T3,2022,82244000000.0,,57513000000.0,43176000000.0,
CBIBF,T3,2021,64689000000.0,,42913000000.0,34737000000.0,
CBIBF,T3,2020,50309000000.0,,32089000000.0,24759000000.0,
